Province,Temple
สระบุรี,วัดพระพุทธบาทราชวรมหาวิหาร
,วัดเขาแก้ววรวิหาร
,วัดสมุหประดิษฐาราม
,วัดมงคลชัยพัฒนา
,วัดแก่งคอย
,วัดบ้านม่วง
,วัดกะเหรี่ยงคอม้า
,วัดเขาสะท้อนสูง
,วัดคลองไผ่สามัคคีธรรม
,วัดตาดใต้
,วัดบำรุงธรรม
,วัดบึงไม้
,วัดโคกกรุง
,วัดชำผักแพว
,วัดบ้านดง
,วัดป่าไผ่
,วัดวังแพ
,วัดสุนทริกาวาส
,วัดเกตุแก้ว
,วัดขอนหอม
,วัดโคกสะอาด
,วัดจำศีล
,วัดตาลเดี่ยว
,วัดนาบุญ
,วัดราษฎร์พัฒนา
,วัดใหม่สามัคคี
,วัดเตาปูน
,วัดบำเพ็ญธรรม
,วัดใหม่โพธิ์งาม
,วัดเขามันธรรมาราม
,วัดซับบอน
,วัดถ้ำพระโพธิสัตว์
,วัดทับกวาง
,วัดบ้านโป่ง
,วัดบำเพ็ญบุญ
,วัดวาลุการาม
,วัดสามัคคีวราราม
,วัดสิทธิราช
,วัดเขาหินดาด
,วัดคำใหญ่
,วัดถ้ำเต่า
,วัดถ้ำประกายแก้ว
,วัดท่าเกวียน
,วัดท่าคล้อใต้
,วัดท่าคล้อเหนือ
,วัดท่าศาลา
,วัดท่าสบก
,วัดหาดสองแคว
,วัดท่าศรีโพธิ์ใต้
,วัดท่าศรีโพธิ์เหนือ
,วัดเขาแก้ววนารามล
,วัดท่ามะปราง
,วัดโป่งมงคล
,วัดท่ากระเบา
,วัดบ้านธาตุใต้
,วัดบ้านธาตุเหนือ
,วัดเขาพระ
,วัดบ้านช่อง
,วัดบ้านช่องใต้
,วัดบ้านป่า
,วัดบ้านป่าใต้
,วัดป่าเกษม
,วัดวังกวาง
,วัดหนองมะค่า
,วัดแก่งป่าสัก
,วัดปรางคล้อ
,วัดพระพุทธบาทน้อย
,วัดสองคอนกลาง
,วัดสองคอนใต้
,วัดสองคอนเหนือ
,วัดสีทาใต้
,วัดสีทาเหนือ
,วัดหนองน้อย
,วัดเขาลาดวนาราม
,วัดนาดี
,วัดบ้านไร่
,วัดบุใหญ่
,วัดหนองน้ำเขียว
,วัดหนองสองห้อง
,วัดห้วยคงคาวราวาส
,วัดถ้ำเขาเขียว
,วัดท่าเดื่อ
,วัดนิคมซอย
,วัดผังพัฒนาราม
,วัดสาย
,วัดหินซ้อนใต้
,วัดป่ามหาวีรวงศ์
,วัดป่าสว่างบุญ
,วัดศรีเทพนิมิตวนาราม
,วัดพระธาตุเจริญธรรม
,วัดป่าดงพญาเย็น
,วัดถ้ำญาณสังวร
,วัดเขาดิน
,วัดถ้ำเจริญสุข
,วัดบ้านกอก
,วัดประดิษฐ์ธรรม
,วัดลาดเขาปูน
,วัดสุนันทาราม
,วัดสูงยาง
,วัดท่าวัว
,วัดผึ้งรวง
,วัดเพลียขวา
,วัดแพะโคก
,วัดห้วยหินขาว
,วัดโคกดินแดง
,วัดประสิทธิ์พรชัย
,วัดพุแค
,วัดสามัคคีธรรม
,วัดหนองหว้า
,วัดคีรีวง
,วัดคุ้งเขาเขียว
,วัดซอย
,วัดซอยสิบ
,วัดถ้ำวิมานแก้ว
,วัดป่าดำรงธรรม
,วัดหน้าพระลาน
,วัดป่าคา
,วัดสาธุประชาสรรค์
,วัดหนองม่วง
,วัดห้วยบง
